***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,48.29,,,,,,System Temp (C):,34.7,,,,,,,
Humidity (%):,29.91,,,,,,Humidity (%):,35.27,,,,,,,
Lamp Intensity:,1920,,,,,,Lamp Intensity:,1767,,,,,,,
Data Date-Time:,20/10/27T13:12:22,,,,,,Data Date-Time:,20/5/13T16:0:36,,,,,,,
Total Measurement Time in sec:,2.0879019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-7.40266672958336,0.0577935962102471,-0.000112288131265282,,,,,
Serial Number:,947R033,(95UB122GC0A947R033),,,,,Pixel to Wavelength Coefficients:,1779.07784909224,-0.923938295271985,-0.000239032023878199,,,,,
GUI Version:,3.6.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(HH:MM:SS):,19min 43sec ,,,,,,
UUID:,DE:67:0C:88:67:4B:68:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU)
901.938585242429,0.85097067725604
905.839109344998,0.852671945966602
909.735330871137,0.860326474843109
913.627249820846,0.853778417745275
917.514866194126,0.869903080296272
921.398179990975,0.874869701848072
925.277191211395,0.882450588119842
929.151899855385,0.878299538416506
933.022305922945,0.876042153507531
938.17615444969,0.873040096348786
942.036521172247,0.874015695371746
945.892585318375,0.873235958904186
949.744346888073,0.867561823826899
953.59180588134,0.863593641890446
957.434962298178,0.864257511955704
961.273816138587,0.866757670027817
965.108367402565,0.871478737765342
968.938616090114,0.869697849112955
974.03892144351,0.869137850680233
977.859130786056,0.872040753847117
981.675037552172,0.873576195829306
985.486641741858,0.873281359393641
989.293943355114,0.872356909125145
993.096942391941,0.87231870629662
996.895638852337,0.877235108740203
1000.6900327363,0.875088180524679
1004.48012404384,0.875719659799771
1009.52688622389,0.87364742441089
1013.30693818642,0.876927534449877
1017.08268757253,0.874249685910537
1020.8541343822,0.871956578765942
1024.62127861545,0.873863511558724
1028.38412027226,0.873831220508811
1032.14265935265,0.872303912637628
1035.8968958566,0.873913172656951
1039.64682978413,0.874601750793098
1044.64004879083,0.874295803237585
1048.37994337335,0.87276358141589
1052.11553537944,0.874649960070911
1055.84682480911,0.874141088370362
1059.57381166234,0.872363071413973
1063.29649593914,0.87372069168315
1067.01487763952,0.874716891899231
1070.72895676346,0.871055179703306
1074.43873331097,0.872177790567536
1079.37840914432,0.86908862545786
1083.07814634683,0.872797892495416
1086.77358097292,0.86919876019794
1090.46471302257,0.872896793372751
1094.15154249579,0.873892459217814
1097.83406939258,0.871908512751782
1101.51229371294,0.869870830003562
1105.18621545688,0.867900466491409
1108.85583462438,0.870646460304435
1113.74196728438,0.868978255679647
1117.40154710688,0.868846892966725
1121.05682435295,0.870143436846667
1124.70779902259,0.871804869133481
1128.3544711158,0.869859772322236
1131.99684063258,0.870200363053075
1135.63490757293,0.868406061606448
1139.26867193685,0.868092811611069
1142.89813372434,0.867271121535163
1147.73072321099,0.868155730558264
1151.35014565348,0.866123133634049
1154.96526551954,0.869427316316203
1158.57608280917,0.870781645093179
1162.18259752237,0.867923355279859
1165.78480965914,0.868397918804138
1169.38271921947,0.867340820778794
1172.97632620338,0.872139634949471
1176.56563061086,0.870400789675897
